20 190
19 20 1
18 19 1
18 20 2
17 18 1
17 19 2
17 20 3
16 17 1
16 18 2
16 19 3
16 20 4
15 16 1
15 17 2
15 18 3
15 19 4
15 20 5
14 15 1
14 16 2
14 17 3
14 18 4
14 19 5
14 20 6
13 14 1
13 15 2
13 16 3
13 17 4
13 18 5
13 19 6
13 20 7
12 13 1
12 14 2
12 15 3
12 16 4
12 17 5
12 18 6
12 19 7
12 20 8
11 12 1
11 13 2
11 14 3
11 15 4
11 16 5
11 17 6
11 18 7
11 19 8
11 20 9
10 11 1
10 12 2
10 13 3
10 14 4
10 15 5
10 16 6
10 17 7
10 18 8
10 19 9
10 20 10
9 10 1
9 11 2
9 12 3
9 13 4
9 14 5
9 15 6
9 16 7
9 17 8
9 18 9
9 19 10
9 20 11
8 9 1
8 10 2
8 11 3
8 12 4
8 13 5
8 14 6
8 15 7
8 16 8
8 17 9
8 18 10
8 19 11
8 20 12
7 8 1
7 9 2
7 10 3
7 11 4
7 12 5
7 13 6
7 14 7
7 15 8
7 16 9
7 17 10
7 18 11
7 19 12
7 20 13
6 7 1
6 8 2
6 9 3
6 10 4
6 11 5
6 12 6
6 13 7
6 14 8
6 15 9
6 16 10
6 17 11
6 18 12
6 19 13
6 20 14
5 6 1
5 7 2
5 8 3
5 9 4
5 10 5
5 11 6
5 12 7
5 13 8
5 14 9
5 15 10
5 16 11
5 17 12
5 18 13
5 19 14
5 20 15
4 5 1
4 6 2
4 7 3
4 8 4
4 9 5
4 10 6
4 11 7
4 12 8
4 13 9
4 14 10
4 15 11
4 16 12
4 17 13
4 18 14
4 19 15
4 20 16
3 4 1
3 5 2
3 6 3
3 7 4
3 8 5
3 9 6
3 10 7
3 11 8
3 12 9
3 13 10
3 14 11
3 15 12
3 16 13
3 17 14
3 18 15
3 19 16
3 20 17
2 3 1
2 4 2
2 5 3
2 6 4
2 7 5
2 8 6
2 9 7
2 10 8
2 11 9
2 12 10
2 13 11
2 14 12
2 15 13
2 16 14
2 17 15
2 18 16
2 19 17
2 20 18
1 2 1
1 3 2
1 4 3
1 5 4
1 6 5
1 7 6
1 8 7
1 9 8
1 10 9
1 11 10
1 12 11
1 13 12
1 14 13
1 15 14
1 16 15
1 17 16
1 18 17
1 19 18
1 20 19
